address,unit_number,price,city,state,zipcode,beds,baths,garage,property_size,lot_size,property_type,broker,date_scraped
1117 Harrison St,,635000,Denver,CO,80206,3,3,1,2457,5940,Single Family Home,KELLER WILLIAMS REALTY DOWNTWN,2017-03-16
1121 Albion St,707,192500,Denver,CO,80220,1,1,1,640,,Condo/Townhome/Row/H,Tuchscherer Ewald J Broker,2017-03-16
1121 Albion St,503,209900,Denver,CO,80220,1,1,,625,295,Condo/Townhome/Row/H,Premier Lifestyle Realty,2017-03-16
1125 N Washington St,505,200000,Denver,CO,80203,1,1,1,565,,Condo/Townhome/Row/H,RE/MAX UNLIMITED  INC.,2017-03-16
1125 S Milwaukee St,,1599000,Denver,CO,80210,4,5,2,5386,6250,Single Family Home,Cherry Creek Properties LLC,2017-03-16
11267 E 28th Pl,,459000,Denver,CO,80238,3,3,2,2582,2785,Condo/Townhome/Row/H,MADISON AND COMPANY PROPERTIES,2017-03-16
1127 Auraria Pkwy,304B,649900,Denver,CO,80204,2,2,1,1670,,Condo/Townhome/Row/H,Re-Assurance Homes,2017-03-16
1130 N Pennsylvania St,206,205000,Denver,CO,80203,1,1,1,552,7727,Condo/Townhome/Row/H,The Peak Properties Group,2017-03-16
1130 S Tejon St,,149900,Denver,CO,80223,,,25,1,4400,Multi-Family,Fathom Realty Colorado Llc,2017-03-16
1130 S Wolff St,,250000,Denver,CO,80219,3,2,2,1086,8100,Single Family Home,Mb Eisenhard Realty Group,2017-03-16
1131 N Lafayette St,203,125000,Denver,CO,80218,0,1,,323,,Condo/Townhome/Row/H,Coldwell Banker Residential Brokerage - Denver Cen,2017-03-16
1133 14th St,2930,1799000,Denver,CO,80202,2,3,2,1951,,Condo/Townhome/Row/H,Kentwood Company,2017-03-16
1133 14th St,2610,1475000,Denver,CO,80202,2,3,2,1805,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
1133 14th St,3800,5250000,Denver,CO,80202,4,5,2,5171,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
1133 14th St,2630,1675000,Denver,CO,80202,2,3,2,1951,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
1133 Race St,9B,2150000,Denver,CO,80205,3,3,4,3947,,Condo/Townhome/Row/H,Kentwood Real Estate at Cherry Creek,2017-03-16
1137 S Gaylord St,,1235000,Denver,CO,80210,4,3,3,3450,6300,Single Family Home,Cherry Creek Properties LLC,2017-03-16
1138 Detroit St,,649900,Denver,CO,80206,3,2,2,2082,3120,Single Family Home,RE/MAX Alliance,2017-03-16
11387 Eliot Ct,,999900,Denver,CO,80234,4,4,3,5778,13939,Single Family Home,Signature Real Estate Corp.,2017-03-16
1140 Cherokee St,402,548500,Denver,CO,80204,2,2,2,1564,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
1141 N Downing St,,479000,Denver,CO,80218,2,2,1,1452,2920,Single Family Home,TRELORA,2017-03-16
1142 S Fillmore St,,1589900,Denver,CO,80210,5,5,2,5508,6250,Single Family Home,Brokers Guild Classic,2017-03-16
1143 Auraria Pkwy,501,1950000,Denver,CO,80204,3,3,1,2953,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
